case_id,source_dataset,case_type,l2_expected_action,l1_correct,dropped_after_l1,l2_action_correct,l2_tag_correct,l2_warn_type_correct,l2_draft_route_correct,l2_draft_required_tools_satisfied,l2_draft_forbidden_tools_avoided,l2_finalize_without_draft,l2_false_positive,l2_false_negative,l2_primary_correct,l2_joint_correct,l3_mode,l3_withdraw_called,l3_required_tools_satisfied,l3_forbidden_tools_avoided,l3_control_recovery_pass,l3_pass,l3_status,l3_desired_correct,tool_sequence_valid,latency_l1_ms,latency_l2_ms,latency_l3_ms,tokens_in,tokens_out
medqa_text::dev-00336,medqa_text,control,draft,False,True,False,,,False,False,True,False,False,False,False,False,none,,,,,,not_triggered_expected,True,True,254887.0,,,424,5840
medqa_text::dev-00527,medqa_text,intervention,warn,True,False,True,False,False,False,True,True,False,False,False,False,False,none,,,,,,not_triggered_expected,True,True,223201.0,66338.0,,8749,5998
medqa_text::dev-00988,medqa_text,control,draft,True,False,True,,,True,True,True,False,False,False,True,True,none,,,,,,not_triggered_expected,True,True,166265.0,40287.0,,5559,4664
medqa_text::dev-00606,medqa_text,control,draft,True,False,True,,,True,True,True,False,False,False,True,True,none,,,,,,not_triggered_expected,True,True,134882.0,106581.0,,9197,5215
medqa_text::dev-00696,medqa_text,control,draft,True,False,True,,,False,False,True,False,False,False,False,False,none,,,,,,not_triggered_expected,True,False,52539.0,71171.0,,8759,2356
medqa_text::dev-00235,medqa_text,intervention,warn,True,False,False,False,False,False,True,True,False,False,True,False,False,none,,,,,,not_triggered_expected,True,True,65111.0,109658.0,,8704,3632
medqa_text::dev-00964,medqa_text,intervention,warn,True,False,True,False,False,False,True,True,False,False,False,False,False,none,,,,,,not_triggered_expected,True,True,50335.0,54412.0,,8596,1908
medqa_text::dev-00154,medqa_text,control,draft,True,False,True,,,True,True,True,False,False,False,True,True,none,,,,,,not_triggered_expected,True,True,135290.0,40642.0,,5620,3830
medqa_text::dev-00290,medqa_text,control,draft,True,False,True,,,True,True,True,False,False,False,True,True,none,,,,,,not_triggered_expected,True,True,104377.0,43508.0,,5478,3359
medqa_text::dev-00466,medqa_text,intervention,warn,True,False,False,False,False,False,True,True,False,False,True,False,False,none,,,,,,not_triggered_expected,True,True,61984.0,65416.0,,5584,2353
medqa_text::dev-00821,medqa_text,control,draft,True,False,True,,,True,True,True,False,False,False,True,True,none,,,,,,not_triggered_expected,True,True,316580.0,51646.0,,5553,8358
medqa_text::dev-01152,medqa_text,intervention,warn,True,False,True,False,False,False,True,True,False,False,False,False,False,none,,,,,,not_triggered_expected,True,True,74291.0,75317.0,,8941,2918
medqa_text::dev-00757,medqa_text,control,draft,True,False,True,,,True,True,True,False,False,False,True,True,none,,,,,,not_triggered_expected,True,True,47097.0,30610.0,,5671,1737
medqa_text::dev-00185,medqa_text,intervention,warn,True,False,True,True,True,False,True,True,False,False,False,True,True,intervention_reaffirm,,,,,True,pass,True,True,630553.0,83082.0,84306.0,19437,7865
medqa_text::dev-00818,medqa_text,intervention,warn,True,False,True,True,True,False,True,True,False,False,False,True,True,intervention_reaffirm,,,,,True,pass,True,True,137005.0,92687.0,64703.0,23932,5194
medqa_text::dev-00028,medqa_text,intervention,warn,True,False,False,False,False,False,True,True,False,False,True,False,False,none,,,,,,not_triggered_expected,True,True,92100.0,106922.0,,12309,4119
medqa_text::dev-00549,medqa_text,intervention,warn,True,False,True,False,False,False,True,True,False,False,False,False,False,none,,,,,,not_triggered_expected,True,True,143783.0,81312.0,,8773,4755
medqa_text::dev-01114,medqa_text,control,draft,True,False,False,,,False,False,False,False,True,False,False,False,control_recovery,True,True,True,True,True,pass,True,True,156392.0,74215.0,64390.0,18707,5976
medqa_text::dev-00257,medqa_text,intervention,warn,True,False,True,True,True,False,True,True,False,False,False,True,True,intervention_reaffirm,,,,,True,pass,True,True,214461.0,75569.0,60326.0,19304,7214
medqa_text::dev-00946,medqa_text,intervention,warn,True,False,True,True,True,False,True,True,False,False,False,True,True,intervention_reaffirm,,,,,False,fail,False,True,161714.0,81090.0,40411.0,15614,5565
medqa_text::dev-00767,medqa_text,intervention,warn,True,False,True,True,True,False,True,True,False,False,False,True,True,intervention_reaffirm,,,,,True,pass,True,True,101101.0,58282.0,69989.0,19346,4526
medqa_text::dev-00545,medqa_text,control,draft,True,False,False,,,False,False,False,False,True,False,False,False,control_recovery,False,False,True,False,False,fail,False,True,208696.0,84199.0,31407.0,11513,6797
medqa_text::dev-01219,medqa_text,intervention,warn,True,False,False,False,False,False,True,True,False,False,True,False,False,none,,,,,,not_triggered_expected,True,True,43574.0,34355.0,,5301,1732
